,batting_team,bowling_team,city_stadium,runs,balls_left,wickets_left,crr,actual,predicted,prob_0,prob_1
17225,Delhi Capitals,Kolkata Knight Riders,Delhi - Arun Jaitley Cricket Stadium,0,118,10,0.0,1,0,0.98,0.02
17228,Delhi Capitals,Kolkata Knight Riders,Delhi - Arun Jaitley Cricket Stadium,9,115,10,10.799999999999999,1,0,0.79,0.21
17231,Delhi Capitals,Kolkata Knight Riders,Delhi - Arun Jaitley Cricket Stadium,14,112,9,10.5,1,0,0.78,0.22
17233,Delhi Capitals,Kolkata Knight Riders,Delhi - Arun Jaitley Cricket Stadium,15,119,9,90.0,1,0,0.94,0.06
17250,Delhi Capitals,Kolkata Knight Riders,Delhi - Arun Jaitley Cricket Stadium,43,53,7,3.8507462686567164,1,0,0.7674999999999998,0.23250000000000004
17607,Delhi Capitals,Rajasthan Royals,Delhi - Arun Jaitley Cricket Stadium,12,119,10,72.0,1,0,0.5773333333333333,0.4226666666666666
17608,Delhi Capitals,Rajasthan Royals,Delhi - Arun Jaitley Cricket Stadium,13,118,10,39.0,1,0,0.5539999999999999,0.44599999999999995
17729,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata - Eden Gardens,8,57,10,0.7619047619047619,1,0,0.52,0.48
17897,Kings XI Punjab,Royal Challengers Bangalore,Mohali - IS Bindra Stadium,59,76,8,8.045454545454545,0,1,0.05,0.95
18604,Chennai Super Kings,Mumbai Indians,"Chennai - MA Chidambaram Stadium, Chepauk",12,108,10,6.0,1,0,0.5033333333333333,0.49666666666666665
18631,Chennai Super Kings,Mumbai Indians,"Chennai - MA Chidambaram Stadium, Chepauk",47,83,9,7.621621621621621,1,0,0.94,0.06
18632,Chennai Super Kings,Mumbai Indians,"Chennai - MA Chidambaram Stadium, Chepauk",48,82,9,7.578947368421053,1,0,0.9,0.1
18633,Chennai Super Kings,Mumbai Indians,"Chennai - MA Chidambaram Stadium, Chepauk",48,81,9,7.384615384615385,1,0,0.65,0.35
18860,Kolkata Knight Riders,Delhi Capitals,Kolkata - Eden Gardens,25,55,9,2.3076923076923075,1,0,0.88,0.12
19007,Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore - M Chinnaswamy Stadium,39,90,9,7.8,0,1,0.20183333333333336,0.7981666666666666
19010,Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore - M Chinnaswamy Stadium,45,88,9,8.4375,0,1,0.34397619047619044,0.6560238095238095
19011,Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore - M Chinnaswamy Stadium,45,87,9,8.181818181818182,0,1,0.49099999999999994,0.509
19435,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,121,48,5,10.083333333333334,0,1,0.3735000000000001,0.6265000000000001
19437,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,121,46,4,9.81081081081081,0,1,0.2824999999999999,0.7175
19475,Delhi Capitals,Kings XI Punjab,Delhi - Arun Jaitley Cricket Stadium,1,112,9,0.75,0,1,0.41,0.59
